scope,baseline_order,baseline_id,baseline_name,baseline_kind,mllm_scale,gold_metric,rho,pvalue_two_sided_asymptotic,n_tokenizers
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,MMBench,-0.700000000,0.188120404,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,VQAv2_VAL,-0.500000000,0.391002219,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,VizWiz,-0.500000000,0.391002219,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,MSCOCO,0.300000000,0.623837665,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,FLICKR30K,0.200000000,0.747060078,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,OverallMean,-0.500000000,0.391002219,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,MMMU_TEST,-0.200000000,0.747060078,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,MMBench,-0.600000000,0.284756980,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,VQAv2_VAL,0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,VizWiz,-0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,MSCOCO,-0.900000000,0.037386073,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,FLICKR30K,-0.900000000,0.037386073,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,OverallMean,-0.400000000,0.504631575,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,MMMU_TEST,-0.200000000,0.747060078,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,MMBench,-0.400000000,0.504631575,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,VQAv2_VAL,-0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,VizWiz,-0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,MSCOCO,0.100000000,0.872888572,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,FLICKR30K,0.400000000,0.504631575,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,OverallMean,-0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,MMMU_TEST,0.500000000,0.391002219,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,MMBench,-0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,VQAv2_VAL,0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,VizWiz,0.200000000,0.747060078,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,MSCOCO,-0.600000000,0.284756980,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,FLICKR30K,-0.600000000,0.284756980,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,OverallMean,0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,MMMU_TEST,-0.700000000,0.188120404,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,MMBench,0.100000000,0.872888572,5
